"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US01003","Baldwin County, Alabama","56439","6268"
"0500000US01015","Calhoun County, Alabama","48156","4922"
"0500000US01043","Cullman County, Alabama","50906","3480"
"0500000US01049","DeKalb County, Alabama","44208","5702"
"0500000US01051","Elmore County, Alabama","61854","5816"
"0500000US01055","Etowah County, Alabama","41447","4256"
"0500000US01069","Houston County, Alabama","50103","2903"
"0500000US01073","Jefferson County, Alabama","53944","2334"
"0500000US01077","Lauderdale County, Alabama","46632","4682"
"0500000US01081","Lee County, Alabama","53712","6669"
"0500000US01083","Limestone County, Alabama","63695","7295"
"0500000US01089","Madison County, Alabama","67930","3939"
"0500000US01095","Marshall County, Alabama","49467","5095"
"0500000US01097","Mobile County, Alabama","49639","1885"
"0500000US01101","Montgomery County, Alabama","53117","2094"
"0500000US01103","Morgan County, Alabama","54338","3209"
"0500000US01115","St. Clair County, Alabama","67487","6240"
"0500000US01117","Shelby County, Alabama","75614","4757"
"0500000US01121","Talladega County, Alabama","50147","8550"
"0500000US01125","Tuscaloosa County, Alabama","52243","3387"
"0500000US01127","Walker County, Alabama","46283","5473"
"0500000US02020","Anchorage Municipality, Alaska","82716","3743"
"0500000US02090","Fairbanks North Star Borough, Alaska","72065","7928"
"0500000US02170","Matanuska-Susitna Borough, Alaska","74709","3432"
"0500000US04001","Apache County, Arizona","30480","4596"
"0500000US04003","Cochise County, Arizona","48484","2893"
"0500000US04005","Coconino County, Arizona","58085","5441"
"0500000US04013","Maricopa County, Arizona","68649","1087"
"0500000US04015","Mohave County, Arizona","50179","2401"
"0500000US04017","Navajo County, Arizona","38897","3586"
"0500000US04019","Pima County, Arizona","56169","1608"
"0500000US04021","Pinal County, Arizona","62057","2393"
"0500000US04025","Yavapai County, Arizona","53816","3981"
"0500000US04027","Yuma County, Arizona","46419","3800"
"0500000US05007","Benton County, Arkansas","69130","3740"
"0500000US05031","Craighead County, Arkansas","45610","4525"
"0500000US05045","Faulkner County, Arkansas","57642","6518"
"0500000US05051","Garland County, Arkansas","45265","3630"
"0500000US05069","Jefferson County, Arkansas","39326","3604"
"0500000US05085","Lonoke County, Arkansas","62532","5764"
"0500000US05119","Pulaski County, Arkansas","52043","2952"
"0500000US05125","Saline County, Arkansas","66327","5337"
"0500000US05131","Sebastian County, Arkansas","48839","3629"
"0500000US05143","Washington County, Arkansas","50798","3546"
"0500000US05145","White County, Arkansas","43399","4720"
"0500000US06001","Alameda County, California","108322","2704"
"0500000US06007","Butte County, California","62563","6056"
"0500000US06013","Contra Costa County, California","107135","3584"
"0500000US06017","El Dorado County, California","87059","6290"
"0500000US06019","Fresno County, California","57518","2684"
"0500000US06023","Humboldt County, California","51662","4720"
"0500000US06025","Imperial County, California","48472","3417"
"0500000US06029","Kern County, California","53067","2168"
"0500000US06031","Kings County, California","58453","5116"
"0500000US06033","Lake County, California","47138","4388"
"0500000US06037","Los Angeles County, California","72797","749"
"0500000US06039","Madera County, California","64827","6251"
"0500000US06041","Marin County, California","110843","6394"
"0500000US06045","Mendocino County, California","51744","4022"
"0500000US06047","Merced County, California","61167","3656"
"0500000US06053","Monterey County, California","77514","3300"
"0500000US06055","Napa County, California","92769","6473"
"0500000US06057","Nevada County, California","68818","7165"
"0500000US06059","Orange County, California","95934","1292"
"0500000US06061","Placer County, California","97723","3589"
"0500000US06065","Riverside County, California","73260","1762"
"0500000US06067","Sacramento County, California","72017","1434"
"0500000US06071","San Bernardino County, California","67903","2115"
"0500000US06073","San Diego County, California","83985","1908"
"0500000US06075","San Francisco County, California","123859","4727"
"0500000US06077","San Joaquin County, California","68997","2715"
"0500000US06079","San Luis Obispo County, California","77265","3750"
"0500000US06081","San Mateo County, California","138500","6761"
"0500000US06083","Santa Barbara County, California","75653","4506"
"0500000US06085","Santa Clara County, California","133076","3515"
"0500000US06087","Santa Cruz County, California","89269","7688"
"0500000US06089","Shasta County, California","63091","3462"
"0500000US06095","Solano County, California","86652","3867"
"0500000US06097","Sonoma County, California","87828","3370"
"0500000US06099","Stanislaus County, California","63037","2741"
"0500000US06101","Sutter County, California","62777","6367"
"0500000US06103","Tehama County, California","53475","13515"
"0500000US06107","Tulare County, California","57692","2874"
"0500000US06111","Ventura County, California","92236","3264"
"0500000US06113","Yolo County, California","71417","4589"
"0500000US06115","Yuba County, California","58765","4763"
"0500000US08001","Adams County, Colorado","75804","2672"
"0500000US08005","Arapahoe County, Colorado","82710","2865"
"0500000US08013","Boulder County, Colorado","88535","3432"
"0500000US08014","Broomfield County, Colorado","111400","11467"
"0500000US08031","Denver County, Colorado","75646","1852"
"0500000US08035","Douglas County, Colorado","122867","3420"
"0500000US08041","El Paso County, Colorado","72830","1903"
"0500000US08059","Jefferson County, Colorado","90040","3085"
"0500000US08069","Larimer County, Colorado","75186","2731"
"0500000US08077","Mesa County, Colorado","60500","3156"
